timestamp_us;participant;state;active_label_id;active_label_name;stream_index;ch0;ch1;ch2;ch3;ch4;ch5;ch6;ch7
10218750;Marwan;PAUSED;0;rest;2;0;0;1;0;2;0;-2;-1
10234375;Marwan;PAUSED;0;rest;3;0;0;-3;-3;-4;-3;-1;-2
10234375;Marwan;PAUSED;0;rest;3;-1;0;8;0;-2;-2;-1;0
10240234;Marwan;PAUSED;0;rest;0;0;-2;-18;1;3;1;-1;-1
10240234;Marwan;PAUSED;0;rest;0;1;-11;20;0;-9;-5;-1;-1
10249023;Marwan;PAUSED;0;rest;1;-1;-1;-14;-6;4;2;0;0
10249023;Marwan;PAUSED;0;rest;1;-1;-3;-8;5;-4;0;0;0
10263671;Marwan;PAUSED;0;rest;2;0;-1;28;-2;0;0;2;-1
10263671;Marwan;PAUSED;0;rest;2;0;2;-37;1;1;-1;-1;0
10269531;Marwan;PAUSED;0;rest;3;-1;2;47;5;2;0;-1;-2
10269531;Marwan;PAUSED;0;rest;3;0;1;5;1;1;1;2;3
10279296;Marwan;PAUSED;0;rest;0;-2;-6;-27;-6;-3;-1;-3;-2
10279296;Marwan;PAUSED;0;rest;0;-1;6;11;0;1;1;0;-1
10293945;Marwan;PAUSED;0;rest;1;-1;-3;-18;-7;8;0;0;-1
10293945;Marwan;PAUSED;0;rest;1;-3;0;-8;-3;-28;-6;-1;-1
10300781;Marwan;PAUSED;0;rest;2;0;-2;-1;4;-4;-5;0;-1
10300781;Marwan;PAUSED;0;rest;2;-1;2;-5;-1;7;0;-2;-3
10309570;Marwan;PAUSED;0;rest;3;-2;-9;-5;1;-1;1;-1;0
10309570;Marwan;PAUSED;0;rest;3;0;0;-3;-2;10;2;-2;0
10324218;Marwan;PAUSED;0;rest;0;2;-1;-2;2;0;1;-1;1
10324218;Marwan;PAUSED;0;rest;0;-1;2;1;0;-11;-4;-3;0
10330078;Marwan;PAUSED;0;rest;1;-1;1;-6;-8;0;0;-2;-2
10330078;Marwan;PAUSED;0;rest;1;-1;0;29;7;2;0;0;0
10338867;Marwan;PAUSED;0;rest;2;-4;-2;5;10;-2;-2;-2;-1
10338867;Marwan;PAUSED;0;rest;2;0;3;8;-2;4;2;1;0
10354492;Marwan;PAUSED;0;rest;3;-2;-3;-6;-1;-4;-2;-1;-2
10354492;Marwan;PAUSED;0;rest;3;0;-1;-8;-8;5;1;0;-1
10360351;Marwan;PAUSED;0;rest;0;-1;2;-4;-12;-2;-1;0;0
10360351;Marwan;PAUSED;0;rest;0;1;0;10;6;-3;-3;-1;0
10369140;Marwan;PAUSED;0;rest;1;0;-7;-18;0;-5;-2;0;0
10369140;Marwan;PAUSED;0;rest;1;-4;-2;1;-2;2;0;-1;-2
10383789;Marwan;PAUSED;0;rest;2;0;4;9;5;5;2;1;-1
10383789;Marwan;PAUSED;0;rest;2;1;3;-1;3;6;4;1;1
10389648;Marwan;PAUSED;0;rest;3;-1;1;14;2;-3;-2;1;-1
10389648;Marwan;PAUSED;0;rest;3;-2;2;-11;-8;-3;-2;-3;-2
10399414;Marwan;PAUSED;0;rest;0;0;3;48;8;3;0;0;1
10399414;Marwan;PAUSED;0;rest;0;-1;-7;-9;-12;-5;-2;0;-2
10414062;Marwan;PAUSED;0;rest;1;-2;8;-22;0;-1;0;-2;-3
10414062;Marwan;PAUSED;0;rest;1;0;-11;-20;5;4;1;1;2
10419921;Marwan;PAUSED;0;rest;2;-1;1;15;4;-2;0;-1;-1
10419921;Marwan;PAUSED;0;rest;2;-1;-2;2;-9;-6;-1;0;0
10428710;Marwan;PAUSED;0;rest;3;0;1;14;2;1;0;-1;0
10428710;Marwan;PAUSED;0;rest;3;-1;-1;-13;-6;-2;-3;-1;-1
10444335;Marwan;PAUSED;0;rest;0;0;0;-9;0;-1;-1;0;-1
10444335;Marwan;PAUSED;0;rest;0;-3;-1;1;0;-1;-2;-1;-1
10450195;Marwan;PAUSED;0;rest;1;0;-1;-6;-2;0;-3;-1;-1
10450195;Marwan;PAUSED;0;rest;1;-1;3;4;-4;-1;1;-1;-1
10458984;Marwan;PAUSED;0;rest;2;-2;-9;-22;-6;-2;-2;-1;-3
10458984;Marwan;PAUSED;0;rest;2;1;-1;4;1;3;1;1;-1
10473632;Marwan;PAUSED;0;rest;3;-1;0;0;-3;-2;-1;-1;-1
10473632;Marwan;PAUSED;0;rest;3;-1;1;2;-2;-2;-3;-2;-2
10480468;Marwan;PAUSED;0;rest;0;-2;-5;-6;-3;-1;-2;-1;-1
10480468;Marwan;PAUSED;0;rest;0;2;11;17;4;3;1;3;1
10489257;Marwan;PAUSED;0;rest;1;1;-1;-33;0;-2;0;0;1
10489257;Marwan;PAUSED;0;rest;1;-1;-2;-1;4;5;2;0;0
10503906;Marwan;PAUSED;0;rest;2;1;7;-12;-15;-5;-2;-3;1
10503906;Marwan;PAUSED;0;rest;2;-2;-10;-14;-2;-5;-2;-1;-2
10510742;Marwan;PAUSED;0;rest;3;0;-2;18;3;-1;-1;-1;1
10510742;Marwan;PAUSED;0;rest;3;-1;-1;-31;-3;1;-1;0;-3
10519531;Marwan;PAUSED;0;rest;0;-1;-1;23;7;1;0;-1;-2
10519531;Marwan;PAUSED;0;rest;0;0;0;5;-2;2;1;2;2
10534179;Marwan;PAUSED;0;rest;1;-1;0;10;1;-3;-2;-2;-3
10534179;Marwan;PAUSED;0;rest;1;1;0;2;0;-1;-3;-3;0
10540039;Marwan;PAUSED;0;rest;2;-1;-5;-21;-4;-2;-3;-1;-1
10540039;Marwan;PAUSED;0;rest;2;-1;0;0;-11;1;-1;-1;0
10548828;Marwan;PAUSED;0;rest;3;-1;-4;5;24;2;-1;0;-3
10548828;Marwan;PAUSED;0;rest;3;1;-1;-4;-4;-1;-1;1;1
10564453;Marwan;PAUSED;0;rest;0;-1;2;-2;0;0;3;1;0
10564453;Marwan;PAUSED;0;rest;0;-2;-3;-21;-5;-1;-1;-2;-2
10570312;Marwan;PAUSED;0;rest;1;-1;2;8;-9;-1;-1;-2;-1
10570312;Marwan;PAUSED;0;rest;1;-1;-1;-8;2;-5;-2;-1;0
10579101;Marwan;PAUSED;0;rest;2;-1;-2;6;-4;0;-2;-2;0
10579101;Marwan;PAUSED;0;rest;2;0;-2;20;6;0;-1;0;-1
10593750;Marwan;PAUSED;0;rest;3;-2;-4;-15;-15;-2;-2;-2;-2
10593750;Marwan;PAUSED;0;rest;3;-2;4;3;15;-2;1;0;-1
10600585;Marwan;PAUSED;0;rest;0;0;-5;-17;-9;-5;-1;-2;-2
10600585;Marwan;PAUSED;0;rest;0;1;3;-8;0;-2;0;-3;0
10609375;Marwan;PAUSED;0;rest;1;0;3;4;0;1;0;2;0
10609375;Marwan;PAUSED;0;rest;1;0;4;28;-3;-1;0;-2;-1
10624023;Marwan;PAUSED;0;rest;2;-3;0;-25;-3;-1;-1;-1;1
10624023;Marwan;PAUSED;0;rest;2;-3;-3;23;7;-1;-3;-2;-2
10630859;Marwan;PAUSED;0;rest;3;-1;-8;-23;-3;-3;-1;0;-2
10630859;Marwan;PAUSED;0;rest;3;0;-2;34;1;0;0;-1;-2
10638671;Marwan;PAUSED;0;rest;0;1;0;-2;4;1;1;0;0
10638671;Marwan;PAUSED;0;rest;0;-1;-2;-8;-3;1;-1;-2;-2
10654296;Marwan;PAUSED;0;rest;1;-2;-1;5;-2;0;2;1;0
10654296;Marwan;PAUSED;0;rest;1;1;1;0;-2;1;-1;0;-2
10660156;Marwan;PAUSED;0;rest;2;3;-4;13;5;-1;-2;-1;2
10660156;Marwan;PAUSED;0;rest;2;-2;-1;-12;-2;-4;-4;0;-2
10668945;Marwan;PAUSED;0;rest;3;-1;-1;6;1;2;1;-1;0
10668945;Marwan;PAUSED;0;rest;3;0;-4;-6;-12;0;0;1;0
10684570;Marwan;PAUSED;0;rest;0;-1;3;-7;7;2;1;-2;-2
10684570;Marwan;PAUSED;0;rest;0;0;-3;-14;13;1;-2;-2;-1
10690429;Marwan;PAUSED;0;rest;1;-2;2;17;-6;-5;-2;-2;-1
10690429;Marwan;PAUSED;0;rest;1;-1;-2;-3;-1;1;1;0;-1
10699218;Marwan;PAUSED;0;rest;2;-1;4;-4;-10;2;1;2;0
10699218;Marwan;PAUSED;0;rest;2;0;-5;5;-3;0;2;0;-2
10713867;Marwan;PAUSED;0;rest;3;2;0;-4;6;1;0;1;0
10713867;Marwan;PAUSED;0;rest;3;-2;-7;2;-1;1;-1;-1;1
10719726;Marwan;PAUSED;0;rest;0;-3;-3;0;-2;-4;-1;0;-1
10719726;Marwan;PAUSED;0;rest;0;0;-3;-7;-2;1;0;-1;0
10729492;Marwan;PAUSED;0;rest;1;-1;4;-3;-5;2;-1;-1;-1
10729492;Marwan;PAUSED;0;rest;1;-2;-4;-10;-8;-8;-5;-2;-2
10744140;Marwan;PAUSED;0;rest;2;-1;-2;8;16;3;-1;-2;-2
10744140;Marwan;PAUSED;0;rest;2;0;1;-4;-7;-3;-1;-1;-1
10750000;Marwan;PAUSED;0;rest;3;-1;-5;0;7;2;-1;-1;-1
10750000;Marwan;PAUSED;0;rest;3;0;-2;-3;-8;2;-1;0;1
10758789;Marwan;PAUSED;0;rest;0;-1;5;9;2;-4;-2;-3;0
10758789;Marwan;PAUSED;0;rest;0;-2;-1;-4;-1;1;0;-1;-1
10774414;Marwan;PAUSED;0;rest;1;0;1;0;-10;-5;-3;-1;1
